date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-10-13,pazar,kahvalti yemegi,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, labne, tahin-pekmez, helva"
2024-10-14,pazartesi,kahvalti yemegi,,simit / pogaca,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, bal, findik ezme"
2024-10-15,sali,kahvalti yemegi,corba,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-16,carsamba,kahvalti yemegi,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, tahin-pekmez, recel"
2024-10-17,persembe,kahvalti yemegi,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-18,cuma,kahvalti yemegi,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-19,cumartesi,kahvalti yemegi,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
2024-10-20,pazar,kahvalti yemegi,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, labne, tahin-pekmez, helva"
2024-10-21,pazartesi,kahvalti yemegi,,simit / pogaca,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, bal, findik ezme"
2024-10-22,sali,kahvalti yemegi,corba,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-23,carsamba,kahvalti yemegi,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-24,persembe,kahvalti yemegi,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-25,cuma,kahvalti yemegi,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-26,cumartesi,kahvalti yemegi,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
2024-10-27,pazar,kahvalti yemegi,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, labne, helva, tahin-pekmez"
2024-10-28,pazartesi,kahvalti yemegi,,simit / pogaca,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, bal, findik ezme"
2024-10-29,sali,kahvalti yemegi,corba,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-30,carsamba,kahvalti yemegi,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-31,persembe,kahvalti yemegi,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
